epoch,step,global_step,loss,lr,train_acc_or_mse
1,100,100,0.6917213201522827,3.960396039603961e-06,0.59375
1,200,200,0.5787711143493652,7.920792079207921e-06,0.875
1,300,300,0.42193979024887085,1.1881188118811881e-05,0.9375
1,400,400,0.45204323530197144,1.5841584158415843e-05,0.875
1,500,500,0.43029484152793884,1.9801980198019803e-05,0.875
1,600,600,0.36367595195770264,1.9759949463044853e-05,0.9375
1,700,700,0.3127124011516571,1.950726468730259e-05,0.96875
1,800,800,0.4104487895965576,1.925457991156033e-05,0.875
1,900,900,0.28590986132621765,1.900189513581807e-05,0.96875
1,1000,1000,0.35547390580177307,1.8749210360075807e-05,0.90625
1,1100,1100,0.2192777544260025,1.8496525584333546e-05,1.0
1,1200,1200,0.2033681869506836,1.8243840808591284e-05,1.0
1,1300,1300,0.24164322018623352,1.7991156032849023e-05,0.96875
1,1400,1400,0.46859803795814514,1.773847125710676e-05,0.8125
1,1500,1500,0.239121213555336,1.74857864813645e-05,0.96875
1,1600,1600,0.1706242859363556,1.723310170562224e-05,1.0
1,1700,1700,0.26742687821388245,1.6980416929879977e-05,0.9375
1,1800,1800,0.15613728761672974,1.6727732154137716e-05,1.0
1,1900,1900,0.19227555394172668,1.647504737839545e-05,0.9375
1,2000,2000,0.1735694408416748,1.6222362602653193e-05,0.96875
1,2100,2100,0.1936204731464386,1.596967782691093e-05,0.96875
2,2200,2200,0.12969718873500824,1.5716993051168667e-05,1.0
2,2300,2300,0.30038022994995117,1.5464308275426406e-05,0.90625
2,2400,2400,0.20926256477832794,1.5211623499684144e-05,0.96875
2,2500,2500,0.11725228279829025,1.4958938723941883e-05,1.0
2,2600,2600,0.17787081003189087,1.4706253948199623e-05,0.96875
2,2700,2700,0.27847304940223694,1.445356917245736e-05,0.90625
2,2800,2800,0.1481892466545105,1.42008843967151e-05,0.96875
2,2900,2900,0.2013716697692871,1.3948199620972837e-05,0.9375
2,3000,3000,0.16665807366371155,1.3695514845230576e-05,0.96875
2,3100,3100,0.13980473577976227,1.3442830069488314e-05,0.96875
2,3200,3200,0.27781787514686584,1.3190145293746053e-05,0.90625
2,3300,3300,0.09254356473684311,1.293746051800379e-05,1.0
2,3400,3400,0.17426399886608124,1.268477574226153e-05,0.96875
2,3500,3500,0.24166826903820038,1.2432090966519267e-05,0.90625
2,3600,3600,0.16955451667308807,1.2179406190777006e-05,0.96875
2,3700,3700,0.08492601662874222,1.1926721415034746e-05,1.0
2,3800,3800,0.1624985933303833,1.1674036639292483e-05,0.96875
2,3900,3900,0.16067947447299957,1.1421351863550223e-05,0.96875
2,4000,4000,0.07974214106798172,1.116866708780796e-05,1.0
2,4100,4100,0.21933822333812714,1.0915982312065699e-05,0.9375
2,4200,4200,0.2878569960594177,1.0663297536323437e-05,0.90625
3,4300,4300,0.15063564479351044,1.0410612760581176e-05,0.96875
3,4400,4400,0.06613313406705856,1.0157927984838913e-05,1.0
3,4500,4500,0.06055343523621559,9.905243209096653e-06,1.0
3,4600,4600,0.12227346748113632,9.65255843335439e-06,0.96875
3,4700,4700,0.13082784414291382,9.39987365761213e-06,0.9375
3,4800,4800,0.07187924534082413,9.147188881869869e-06,1.0
3,4900,4900,0.053983334451913834,8.894504106127606e-06,1.0
3,5000,5000,0.1935650259256363,8.641819330385345e-06,0.9375
3,5100,5100,0.1793864667415619,8.389134554643083e-06,0.9375
3,5200,5200,0.3119824230670929,8.136449778900822e-06,0.90625
3,5300,5300,0.13706658780574799,7.88376500315856e-06,0.96875
3,5400,5400,0.05113283172249794,7.631080227416299e-06,1.0
3,5500,5500,0.1413574069738388,7.3783954516740375e-06,0.96875
3,5600,5600,0.11039651185274124,7.125710675931776e-06,0.96875
3,5700,5700,0.05502577871084213,6.873025900189514e-06,1.0
3,5800,5800,0.04654620960354805,6.6203411244472525e-06,1.0
3,5900,5900,0.17870426177978516,6.367656348704991e-06,0.9375
3,6000,6000,0.16749735176563263,6.114971572962729e-06,0.9375
3,6100,6100,0.10436512529850006,5.8622867972204675e-06,0.96875
3,6200,6200,0.08295054733753204,5.609602021478207e-06,0.96875
3,6300,6300,0.17865101993083954,5.3569172457359455e-06,0.9375
4,6400,6400,0.04013025388121605,5.104232469993683e-06,1.0
4,6500,6500,0.14721769094467163,4.851547694251422e-06,0.96875
4,6600,6600,0.0398392379283905,4.5988629185091605e-06,1.0
4,6700,6700,0.04167013615369797,4.346178142766898e-06,1.0
4,6800,6800,0.038139354437589645,4.093493367024637e-06,1.0
4,6900,6900,0.10766951739788055,3.8408085912823754e-06,0.96875
4,7000,7000,0.13168944418430328,3.5881238155401136e-06,0.96875
4,7100,7100,0.0464482456445694,3.3354390397978526e-06,1.0
4,7200,7200,0.04389777407050133,3.082754264055591e-06,1.0
4,7300,7300,0.10926505923271179,2.8300694883133294e-06,0.96875
4,7400,7400,0.03974844515323639,2.5773847125710676e-06,1.0
4,7500,7500,0.03655964881181717,2.3246999368288062e-06,1.0
4,7600,7600,0.046736735850572586,2.072015161086545e-06,1.0
4,7700,7700,0.04183400422334671,1.8193303853442832e-06,1.0
4,7800,7800,0.106015644967556,1.5666456096020216e-06,0.96875
4,7900,7900,0.04267004504799843,1.31396083385976e-06,1.0
4,8000,8000,0.040499843657016754,1.0612760581174986e-06,1.0
4,8100,8100,0.1420266181230545,8.085912823752369e-07,0.96875
4,8200,8200,0.2253972738981247,5.559065066329754e-07,0.9375
4,8300,8300,0.03711237385869026,3.0322173089071387e-07,1.0
4,8400,8400,0.06236627325415611,5.0536955148452305e-08,1.0
